Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win
115,1.3010286883857498,0.06049012382405242,0.8038371867919935,1.3010286883857498,0.06049012382405242,0.8038371867919935,True,49
116,1.298497776999826,0.059522333256038416,0.793514267365684,1.311177407169827,0.059771745685604796,0.7959259794229657,True,49
117,1.2897176121781542,0.059480651886592587,0.7897710485591739,1.2984095196621044,0.0598265433355039,0.7943880467508557,True,49
118,1.2952176790229417,0.05958971266943723,0.7927867407432206,1.3059683417004135,0.05944698904482604,0.7916161944119148,True,49
119,3.295040260008977,180550183673742.34,0.7557562347484235,4.782248880704674,157359931047057.94,0.844102666996916,True,93
120,3.327942849710772,233799465607400.2,0.7886863741937804,3.743237548542826,253710907352796.34,0.7970010762950601,True,92
121,13.088505756768729,641552140428733.2,2.0474317524795085,13.088505756768729,641552140428733.2,2.0474317524795085,True,3
122,23.478424603770446,751274759599796.9,3.156906451366419,23.519976414179315,751274759599796.9,3.162001995399635,True,3
123,104.41911549707599,0.022267384224031777,7.505094466936572,98.40033175888435,0.021604412342616917,7.328205128205127,True,58
124,11.710040990100975,568204263677574.9,2.0585800487229315,11.760831459929522,568204263677574.9,2.063256067427006,True,3
125,11.734402156878975,568204263677574.9,2.059047650593339,11.892061920851365,568204263677574.9,2.0732761075071666,True,3
126,23.51767588632647,751274759599796.9,3.1604320353944546,23.487912331418336,751274759599796.9,3.158972292444913,True,3
127,1.4338314650473834e-07,0.0035034797328585506,0.0002269631832100884,1.8386453254666996e-07,0.0036019269196576275,0.00023419281578077538,True,15
128,1.447566452030342e-07,0.003538937828215076,0.00022877443105756345,1.9650784693217297e-07,0.00363778851042358,0.00023644906291833993,True,15
129,1.596882784554885e-07,0.0035958493758085344,0.00023392921686746993,1.6812550868752814e-07,0.0036575948722391387,0.00023953537483266402,True,15
130,2.9103582500593224e-07,0.005162088563505519,0.00030943083900104683,3.1479760380991763e-07,0.0052403661452649335,0.0003169068101990283,True,15
131,1.4084409274421956e-07,0.003499940887012964,0.00022690140505852112,1.6398505863497724e-07,0.0035765160438644542,0.0002321207905369427,True,15
132,0.14278213433509443,0.0029108615470275325,0.2467351446540882,0.151196314628302,0.0029762241387415477,0.2525628679245284,True,16
133,0.15532091543706156,0.0031416972584427834,0.26677347415526614,0.1758382385598754,0.0032587786223986365,0.2766596451803124,True,15
134,0.11895378705270832,0.004508509222017757,0.24698601785714294,0.1323107409055655,0.004658896492995615,0.25723349404761897,True,17
135,0.41223619245559384,0.004302115590680286,0.3365863389830509,0.4147115852681359,0.004318969369223429,0.3392435254237287,True,21
